model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.4769326683291771,0.47367232382790175,0.47757383985136415,0.4730944614725245,0.9489926608007311
random_forest,0.6502493765586035,0.6515887194561993,0.65175563975171,0.647730009093409,0.9719424711610105
svm,0.4307980049875312,0.44558937197155146,0.4305977179436537,0.4351769766643301,0.9419069700798979
xgboost,0.6552369077306733,0.6579004834125949,0.6570307366152507,0.655164088896892,0.9778677755443689
random_forest_tuned,0.6552369077306733,0.655180342748513,0.6572204790234476,0.6518481654949005,0.9753916507210726
